projekat,commit_hash,datum,kloc,broj_composable,baseline_prisutan,StanjeBezRemember_ukupno,StanjeBezRemember_zateceno,StanjeBezRemember_novo,SkupaAlokacijaBezRemember_ukupno,SkupaAlokacijaBezRemember_zateceno,SkupaAlokacijaBezRemember_novo,NestabilanTipParametra_ukupno,NestabilanTipParametra_zateceno,NestabilanTipParametra_novo,HardkodovaniString_ukupno,HardkodovaniString_zateceno,HardkodovaniString_novo,ponderisani_zbir_ukupno,ponderisani_zbir_zateceno,ponderisani_zbir_novo,dug_po_kloc_ukupno,dug_po_kloc_zateceno,dug_po_kloc_novo,dug_po_composable_ukupno,dug_po_composable_zateceno,dug_po_composable_novo,ukupno_tudjih_upozorenja
jetsnack,bc182640f7903aa5ec77025b9fc3a015f40a6a13,2026-06-19,6.9780,149,false,0,0,0,0,0,0,31,0,31,2,0,2,45.4000,0.0000,45.4000,6.5062,0.0000,6.5062,0.3047,0.0000,0.3047,47
sample-app,d97c801d71db4924f0e55913d701117c99336926,2026-08-20,0.0280,1,true,0,0,0,0,0,0,0,0,0,1,1,0,1.0000,1.0000,0.0000,35.7143,35.7143,0.0000,1.0000,1.0000,0.0000,1
